departement,conformite_eau_moyenne,nombre_deces,population_totale,nb_cancers,nb_insuffisance_renale,nb_foie_pancreas,pourcentage_cancer,pourcentage_insuffisance_renale,pourcentage_foie_pancreas
01,96.75,4516,632260,96750,1660,4760,15.3022,0.2626,0.7529
02,84.89,5582,512770,84450,1750,4780,16.4694,0.3413,0.9322
03,95.8,4515,326710,73790,1080,3150,22.5858,0.3306,0.9642
04,91.62,1804,166630,34510,510,1690,20.7106,0.3061,1.0142
05,90.3,1576,145140,28610,430,1230,19.712,0.2963,0.8475
06,95.54,12958,1157180,227300,3420,10600,19.6426,0.2955,0.916
07,75.41,3443,330780,62660,1000,3060,18.9431,0.3023,0.9251
08,91.69,2652,257810,48630,860,2640,18.8627,0.3336,1.024
09,80.34,1912,153540,28040,560,1330,18.2623,0.3647,0.8662
10,94.33,3247,296670,51500,950,2620,17.3594,0.3202,0.8831
11,94.21,4608,381810,73480,1340,3850,19.2452,0.351,1.0084
12,86.43,3504,274640,51110,750,2230,18.6098,0.2731,0.812
13,95.47,19853,2149680,350360,6740,19720,16.2982,0.3135,0.9173
14,94.11,7985,697250,126830,1990,6050,18.19,0.2854,0.8677
15,72.8,2073,139860,33660,450,1440,24.0669,0.3218,1.0296
16,94.87,4316,344740,64090,970,2810,18.5908,0.2814,0.8151
17,96.39,8371,686310,143450,1860,6020,20.9016,0.271,0.8772
18,93.82,3743,289980,52950,920,2490,18.2599,0.3173,0.8587
19,81.45,3391,235240,42050,640,2050,17.8754,0.2721,0.8715
21,93.18,5936,518510,93140,1410,5060,17.963,0.2719,0.9759
22,98.05,7557,613330,119460,1650,6320,19.4773,0.269,1.0304
23,83.38,1711,109010,25440,290,1270,23.3373,0.266,1.165
24,97.21,5242,411000,85870,1240,3740,20.8929,0.3017,0.91
25,96.46,4865,533270,82930,1400,4430,15.5512,0.2625,0.8307
26,92.23,5145,530950,89750,1620,4320,16.9037,0.3051,0.8136
27,93.72,4699,594400,103260,1670,5220,17.3721,0.281,0.8782
28,94.48,4262,424300,65130,1360,3800,15.35,0.3205,0.8956
29,96.77,11247,930080,190220,2620,8640,20.452,0.2817,0.929
2A,75.32,1695,149570,30430,390,1560,20.345,0.2607,1.043
2B,83.42,1883,163620,33510,430,1650,20.4804,0.2628,1.0084
30,91.9,7724,779100,134430,2480,7500,17.2545,0.3183,0.9626
31,95.58,11586,1429140,197660,3830,10060,13.8307,0.268,0.7039
32,93.49,2281,190210,36450,600,1640,19.163,0.3154,0.8622
33,96.79,15601,1693010,304660,4900,15140,17.9952,0.2894,0.8943
34,94.22,12522,1240940,221650,3860,11140,17.8615,0.3111,0.8977
35,98.57,9700,1098300,163060,2400,8360,14.8466,0.2185,0.7612
36,95.56,2972,208320,42080,670,1910,20.1997,0.3216,0.9169
37,94.48,6245,614980,99550,1880,4980,16.1875,0.3057,0.8098
38,95.32,9686,1300480,201990,3880,12300,15.532,0.2984,0.9458
39,95.71,2588,256030,48990,720,2210,19.1345,0.2812,0.8632
40,95.4,4510,446550,86820,1330,3650,19.4424,0.2978,0.8174
41,96.33,3928,325050,56910,1240,2830,17.5081,0.3815,0.8706
42,93.67,8199,764590,131100,2420,7010,17.1464,0.3165,0.9168
43,75.9,2335,227120,43080,690,2040,18.9679,0.3038,0.8982
44,98.47,12909,1481480,234330,3190,11590,15.8173,0.2153,0.7823
45,96.82,6424,674390,102750,2250,5010,15.236,0.3336,0.7429
46,89.19,2201,172650,35350,580,1630,20.4749,0.3359,0.9441
47,96.83,3975,331470,62460,960,2970,18.8433,0.2896,0.896
48,69.15,909,72780,14600,200,790,20.0605,0.2748,1.0855
49,98.15,7946,823540,138080,2230,6400,16.7666,0.2708,0.7771
